# Matrix: cavity19
# Path: /home/stu1/Dataset/training_dataset/1k-10k-0.1-1/cavity19.mtx
# Category: 1k-10k-0.1-1
# Date: 2026-03-06 11:44:46
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 4562
# Cols: 4562
# NNZ(A): 138187
# NNZ(C) estimate: 5266377
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.23      0.17      0.25      0.76         13.88     | 3491     0        0        13969    3004     | 1      26119          613291       -       
8      8      1      1/8    | 0.10      0.22      0.17      0.24      0.73         14.37     | 3491     0        0        13969    3004     | 8      26119          613291       -       
8      8      2      2/8    | 0.08      0.21      0.16      0.22      0.68         15.42     | 3491     0        4495     9474     3004     | 16     26119          613291       -       
8      8      3      3/8    | 0.11      0.23      0.16      0.24      0.74         14.16     | 3491     0        6902     7067     3004     | 24     26119          613291       -       
8      8      4      4/8    | 0.09      0.23      0.16      0.25      0.75         13.99     | 3491     0        10190    3779     3004     | 32     26119          613291       -       
8      8      5      5/8    | 0.08      0.22      0.15      0.23      0.69         15.26     | 3491     0        11382    2587     3004     | 40     26119          613291       -       
8      8      6      6/8    | 0.11      0.23      0.16      0.25      0.75         14.04     | 3491     0        11938    2031     3004     | 48     26119          613291       -       
8      8      7      7/8    | 0.09      0.22      0.16      0.23      0.72         14.69     | 3491     0        12920    1049     3004     | 56     26119          613291       -       
8      8      8      8/8    | 0.11      0.23      0.20      0.25      0.80         13.25     | 3491     0        16973    0        0        | 64     26119          613291       -       
8      16     0      0/8    | 0.10      0.20      0.16      0.24      0.71         14.73     | 3491     0        0        13969    3004     | 1      28689          613291       -       
8      16     1      1/8    | 0.09      0.19      0.16      0.23      0.67         15.65     | 3491     0        0        13969    3004     | 8      28689          613291       -       
8      16     2      2/8    | 0.08      0.18      0.15      0.23      0.65         16.11     | 3491     0        4495     9474     3004     | 16     28689          613291       -       
8      16     3      3/8    | 0.09      0.19      0.15      0.24      0.69         15.33     | 3491     0        6902     7067     3004     | 24     28689          613291       -       
8      16     4      4/8    | 0.09      0.20      0.15      0.24      0.68         15.58     | 3491     0        10190    3779     3004     | 32     28689          613291       -       
8      16     5      5/8    | 0.09      0.19      0.14      0.25      0.68         15.51     | 3491     0        11382    2587     3004     | 40     28689          613291       -       
8      16     6      6/8    | 0.09      0.21      0.15      0.24      0.69         15.24     | 3491     0        11938    2031     3004     | 48     28689          613291       -       
8      16     7      7/8    | 0.08      0.18      0.14      0.23      0.65         16.33     | 3491     0        12920    1049     3004     | 56     28689          613291       -       
8      16     8      8/8    | 0.10      0.20      0.18      0.28      0.77         13.63     | 3491     0        16973    0        0        | 64     28689          613291       -       
8      32     0      0/8    | 0.09      0.17      0.23      0.24      0.74         14.16     | 3491     0        0        13969    3004     | 1      33853          613291       -       
8      32     1      1/8    | 0.09      0.17      0.23      0.25      0.75         14.06     | 3491     0        0        13969    3004     | 8      33853          613291       -       
8      32     2      2/8    | 0.09      0.17      0.21      0.23      0.72         14.71     | 3491     0        4495     9474     3004     | 16     33853          613291       -       
8      32     3      3/8    | 0.10      0.17      0.20      0.25      0.72         14.61     | 3491     0        6902     7067     3004     | 24     33853          613291       -       
8      32     4      4/8    | 0.09      0.16      0.19      0.23      0.68         15.58     | 3491     0        10190    3779     3004     | 32     33853          613291       -       
8      32     5      5/8    | 0.09      0.17      0.19      0.24      0.70         15.07     | 3491     0        11382    2587     3004     | 40     33853          613291       -       
8      32     6      6/8    | 0.10      0.17      0.19      0.24      0.70         14.96     | 3491     0        11938    2031     3004     | 48     33853          613291       -       
8      32     7      7/8    | 0.08      0.16      0.19      0.23      0.67         15.79     | 3491     0        12920    1049     3004     | 56     33853          613291       -       
8      32     8      8/8    | 0.09      0.17      0.18      0.23      0.68         15.58     | 3491     0        16973    0        0        | 64     33853          613291       -       
16     8      0      0/8    | 0.09      0.21      0.14      0.22      0.68         15.58     | 1615     0        0        4364     377      | 1      8041           613291       -       
16     8      1      1/8    | 0.10      0.21      0.15      0.22      0.69         15.35     | 1615     0        0        4364     377      | 32     8041           613291       -       
16     8      2      2/8    | 0.09      0.21      0.14      0.23      0.68         15.51     | 1615     0        1725     2639     377      | 64     8041           613291       -       
16     8      3      3/8    | 0.09      0.21      0.14      0.23      0.68         15.49     | 1615     0        2172     2192     377      | 96     8041           613291       -       
16     8      4      4/8    | 0.09      0.21      0.14      0.22      0.68         15.58     | 1615     0        2464     1900     377      | 128    8041           613291       -       
16     8      5      5/8    | 0.09      0.21      0.16      0.23      0.70         15.07     | 1615     0        3110     1254     377      | 160    8041           613291       -       
16     8      6      6/8    | 0.10      0.22      0.18      0.23      0.74         14.16     | 1615     0        4044     320      377      | 192    8041           613291       -       
16     8      7      7/8    | 0.11      0.22      0.18      0.24      0.77         13.77     | 1615     0        4086     278      377      | 224    8041           613291       -       
